"","Variables","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.608333333333333,0.178,0.282847723107541,0.56759068321588
"2",2,0.735,0.442,0.298185175843754,0.602406737637471
"3",3,0.725,0.42,0.257126322219704,0.517844827439767
"4",4,0.748333333333333,0.48,0.262709801700083,0.523722936566382
