"","Variables","Accuracy","Kappa","AccuracySD","KappaSD"
"218",218,0.185,-0.58,0.188449034353463,0.366450152525162
"219",219,0.148333333333333,-0.63,0.207081271633203,0.404187267165575
"220",220,0.16,-0.614,0.212852348939305,0.413057292068076
"221",221,0.188333333333333,-0.568,0.219390259965661,0.408801134229027
"222",222,0.158333333333333,-0.624,0.195796240516649,0.36396905004101
"223",223,0.151666666666667,-0.646,0.212752451083829,0.367678874973857
"224",224,0.168333333333333,-0.602,0.213948146810879,0.424018674983418
"225",225,0.171666666666667,-0.602,0.189289457884514,0.358847361104173
"226",226,0.195,-0.562,0.229986936432714,0.431839917429728
"227",227,0.195,-0.556,0.214027622351069,0.418529983321118
"228",228,0.183333333333333,-0.572,0.205508053590858,0.386528241701241
"229",229,0.188333333333333,-0.57,0.223232538936216,0.438108177862733
"230",230,0.175,-0.598,0.206368283611425,0.383054320227429
"231",231,0.171666666666667,-0.594,0.222341946206927,0.418164111910379
"232",232,0.171666666666667,-0.598,0.211898073730729,0.408826094458517
"233",233,0.18,-0.588,0.195150967783297,0.375602916682509
"234",234,0.16,-0.618,0.190357105631492,0.363480903689504
"235",235,0.186666666666667,-0.57,0.21199837418621,0.426303523182194
"236",236,0.191666666666667,-0.562,0.205680387418702,0.404510285936676
"237",237,0.173333333333333,-0.606,0.190357105631492,0.362198502346491
"238",238,0.17,-0.606,0.214919697074224,0.426858481543129
"239",239,0.17,-0.598,0.204096371349875,0.405819905769009
"240",240,0.175,-0.592,0.197955823194237,0.404989291871541
"241",241,0.181666666666667,-0.578,0.215400539206032,0.413195610147177
"242",242,0.183333333333333,-0.59,0.218866384652979,0.422456373789178
"243",243,0.178333333333333,-0.572,0.211630373448582,0.424283309276493
"244",244,0.178333333333333,-0.582,0.205514949718562,0.403904413828574
"245",245,0.178333333333333,-0.602,0.217573976785253,0.41181033875079
"246",246,0.16,-0.622,0.178046848531809,0.352420203734122
"247",247,0.146666666666667,-0.644,0.177025050432772,0.341760149812701
"248",248,0.168333333333333,-0.616,0.204464069106422,0.392979201817634
"249",249,0.143333333333333,-0.644,0.191248434552602,0.370416202757528
"250",250,0.188333333333333,-0.568,0.225129088693495,0.421096721644317
"251",251,0.143333333333333,-0.644,0.191248434552602,0.370416202757528
"252",252,0.191666666666667,-0.56,0.210448446781711,0.42185208743524
"253",253,0.188333333333333,-0.566,0.199069547664268,0.385243098442995
"254",254,0.213333333333333,-0.524,0.221543748846726,0.441037737290456
"255",255,0.151666666666667,-0.644,0.183418347635762,0.341760149812701
"256",256,0.176666666666667,-0.576,0.1826052332268,0.376644692634578
"257",257,0.171666666666667,-0.578,0.205790605331318,0.413195610147177
"258",258,0.178333333333333,-0.588,0.222086835175516,0.417299383548795
"259",259,0.16,-0.62,0.203317162287707,0.397953950776689
"260",260,0.155,-0.624,0.213629948981974,0.416280909865403
"261",261,0.196666666666667,-0.556,0.225097610472352,0.430547823791305
"262",262,0.133333333333333,-0.668,0.164957219768465,0.335297613764128
"263",263,0.158333333333333,-0.634,0.208418350000138,0.380981546502597
"264",264,0.18,-0.592,0.222946664966088,0.4203205773634
"265",265,0.16,-0.624,0.208139365485851,0.377726820626241
"266",266,0.186666666666667,-0.572,0.21065710819614,0.399509903838824
"267",267,0.16,-0.622,0.185072149931512,0.366611622337117
"268",268,0.175,-0.602,0.23525086720678,0.447437146423942
"269",269,0.16,-0.63,0.196943768808669,0.374846907525769
"270",270,0.151666666666667,-0.638,0.221242881689813,0.433726143259706
"271",271,0.168333333333333,-0.602,0.213948146810879,0.424018674983418
"272",272,0.175,-0.592,0.218380194379097,0.4203205773634
"273",273,0.141666666666667,-0.644,0.17024225769137,0.341760149812701
"274",274,0.146666666666667,-0.642,0.202422964826974,0.388660704030061
"275",275,0.16,-0.618,0.196943768808669,0.377256476391846
"276",276,0.145,-0.65,0.192555613782338,0.380788655293195
"277",277,0.173333333333333,-0.602,0.212852348939305,0.41181033875079
"278",278,0.18,-0.582,0.234109496252988,0.451613886014166
"279",279,0.155,-0.638,0.200629677699228,0.393772958514349
"280",280,0.158333333333333,-0.618,0.183850538231911,0.363480903689504
"281",281,0.15,-0.648,0.185194633167905,0.344780320476322
"282",282,0.141666666666667,-0.67,0.202905482726897,0.361544306709822
"283",283,0.181666666666667,-0.58,0.213417553528746,0.430471976380553
"284",284,0.131666666666667,-0.672,0.197123590040784,0.382814496558725
"285",285,0.193333333333333,-0.57,0.221722794796625,0.426303523182194
"286",286,0.163333333333333,-0.622,0.214919697074224,0.418593368513245
"287",287,0.17,-0.606,0.216234524566528,0.414733747882486
"288",288,0.156666666666667,-0.634,0.192430450963588,0.377753834108502
"289",289,0.17,-0.612,0.175739448449961,0.333589017584604
"290",290,0.178333333333333,-0.604,0.215610981255815,0.429028327878765
"291",291,0.203333333333333,-0.544,0.207675833212919,0.415593993396125
"292",292,0.161666666666667,-0.608,0.219777510667064,0.436516825306322
"293",293,0.17,-0.616,0.22647851334465,0.441869867259397
"294",294,0.168333333333333,-0.616,0.210610009172686,0.405754525167468
"295",295,0.16,-0.61,0.203317162287707,0.407205508963978
"296",296,0.171666666666667,-0.598,0.211898073730729,0.408826094458517
"297",297,0.16,-0.614,0.218762754730194,0.425229829813555
"298",298,0.151666666666667,-0.632,0.188749615187846,0.358249713388381
"299",299,0.155,-0.614,0.213629948981974,0.425229829813555
"300",300,0.18,-0.596,0.218451569999792,0.423281640209891
"301",301,0.136666666666667,-0.676,0.206718229249031,0.37501564593211
"302",302,0.145,-0.65,0.202597922909755,0.383990858734732
"303",303,0.185,-0.586,0.211147657655332,0.407085208951319
"304",304,0.176666666666667,-0.598,0.222488502594736,0.421120953103568
"305",305,0.181666666666667,-0.574,0.2420446258586,0.45705802784365
"306",306,0.145,-0.644,0.208798799746335,0.409658892449884
"307",307,0.166666666666667,-0.606,0.228992667400849,0.440505275745006
"308",308,0.156666666666667,-0.64,0.213384347641982,0.381190401832181
"309",309,0.141666666666667,-0.642,0.22287672889106,0.417030317500162
"310",310,0.141666666666667,-0.642,0.189917334923141,0.375303958445005
"311",311,0.135,-0.65,0.169106294310739,0.341813888971583
"312",312,0.176666666666667,-0.588,0.21928041459911,0.438289811863878
"313",313,0.168333333333333,-0.622,0.207900911772042,0.393461872229012
"314",314,0.151666666666667,-0.638,0.209395252768744,0.409524363233291
"315",315,0.163333333333333,-0.614,0.194860261577239,0.360277670693036
"316",316,0.173333333333333,-0.592,0.212852348939305,0.4203205773634
"317",317,0.168333333333333,-0.602,0.207900911772042,0.41181033875079
"318",318,0.161666666666667,-0.618,0.207846369654812,0.403398825289437
"319",319,0.133333333333333,-0.676,0.182107839771171,0.331699396737345
"320",320,0.16,-0.626,0.214179868038562,0.398369124285095
"321",321,0.161666666666667,-0.608,0.207846369654812,0.412478818256409
"322",322,0.145,-0.654,0.214820760597465,0.412166996074481
"323",323,0.173333333333333,-0.612,0.218762754730194,0.415338563642939
"324",324,0.153333333333333,-0.616,0.189999403269143,0.381917824263016
"325",325,0.181666666666667,-0.576,0.21801646529178,0.427407944498471
"326",326,0.143333333333333,-0.65,0.207593925959403,0.397055488848208
"327",327,0.156666666666667,-0.642,0.185683758174717,0.344691521360708
"328",328,0.156666666666667,-0.628,0.226278178486033,0.442645110531621
"329",329,0.156666666666667,-0.626,0.216679748427685,0.401431113362567
"330",330,0.13,-0.67,0.176704526812185,0.347145796577796
"331",331,0.175,-0.612,0.188418949896957,0.348548008580905
"332",332,0.135,-0.668,0.188899726246397,0.352507055943276
"333",333,0.135,-0.662,0.211549997306888,0.396870410145402
"334",334,0.148333333333333,-0.648,0.178404684054307,0.344780320476322
"335",335,0.175,-0.606,0.219674310562452,0.426858481543129
"336",336,0.151666666666667,-0.646,0.173899194090184,0.347709707682035
"337",337,0.16,-0.628,0.196943768808669,0.36702888725771
"338",338,0.143333333333333,-0.65,0.213649850230234,0.409703725705714
"339",339,0.161666666666667,-0.628,0.207846369654812,0.393850691692853
"340",340,0.176666666666667,-0.588,0.228149411997952,0.441074754180638
"341",341,0.153333333333333,-0.62,0.224214426037972,0.437525509460387
"342",342,0.15,-0.634,0.208248281958761,0.406884629890116
"343",343,0.161666666666667,-0.628,0.213895146711766,0.406598633765033
"344",344,0.145,-0.664,0.208798799746335,0.389012354874364
"345",345,0.146666666666667,-0.63,0.189401731441441,0.364355735567339
"346",346,0.146666666666667,-0.646,0.22370818374374,0.419528403844904
"347",347,0.176666666666667,-0.598,0.210710922760358,0.396149837659377
"348",348,0.161666666666667,-0.612,0.203017207139094,0.401852851533636
"349",349,0.155,-0.634,0.207573444096006,0.394145937957203
"350",350,0.163333333333333,-0.624,0.201299632265221,0.36396905004101
"351",351,0.153333333333333,-0.636,0.202982299866163,0.388487385869338
"352",352,0.166666666666667,-0.612,0.197058873300558,0.376688037440825
"353",353,0.143333333333333,-0.654,0.184458513792824,0.34476256248293
"354",354,0.158333333333333,-0.634,0.204990182830031,0.39102690548903
"355",355,0.18,-0.62,0.189999403269143,0.340467865366085
"356",356,0.136666666666667,-0.656,0.224467119036051,0.433853168051786
"357",357,0.186666666666667,-0.592,0.201017818278147,0.378956677293469
"358",358,0.173333333333333,-0.602,0.206773068944716,0.399228848493427
"359",359,0.161666666666667,-0.638,0.213895146711766,0.396870410145402
"360",360,0.163333333333333,-0.644,0.204096371349875,0.367095605630835
"361",361,0.13,-0.696,0.189102187158712,0.320051016341496
"362",362,0.143333333333333,-0.674,0.197805419862511,0.349816278311099
"363",363,0.166666666666667,-0.604,0.203428660602798,0.406558477858189
"364",364,0.168333333333333,-0.6,0.224296582488677,0.43985155195259
"365",365,0.161666666666667,-0.628,0.207846369654812,0.393850691692853
"366",366,0.155,-0.648,0.204131088111994,0.37320454532744
"367",367,0.163333333333333,-0.624,0.216234524566528,0.413328944457717
"368",368,0.146666666666667,-0.65,0.196020499645264,0.356427855710704
"369",369,0.128333333333333,-0.672,0.200770906547985,0.372547764366791
"370",370,0.151666666666667,-0.646,0.194663789467135,0.389248359937824
"371",371,0.14,-0.66,0.205811264618803,0.409080601807896
"372",372,0.143333333333333,-0.656,0.204151915335486,0.393912867191179
"373",373,0.146666666666667,-0.65,0.196020499645264,0.356427855710704
"374",374,0.173333333333333,-0.598,0.180419013433073,0.340761452260872
"375",375,0.15,-0.65,0.185194633167905,0.352975688588738
"376",376,0.166666666666667,-0.616,0.185194633167905,0.366093553338376
"377",377,0.135,-0.676,0.188899726246397,0.331699396737345
"378",378,0.148333333333333,-0.654,0.203630595690171,0.373188139890729
"379",379,0.151666666666667,-0.63,0.188749615187846,0.350072878709796
"380",380,0.145,-0.66,0.192555613782338,0.369776545872708
"381",381,0.168333333333333,-0.592,0.213948146810879,0.432288641289307
"382",382,0.18,-0.594,0.208493135990377,0.379801236954064
"383",383,0.153333333333333,-0.654,0.189999403269143,0.329631829253704
"384",384,0.141666666666667,-0.66,0.202905482726897,0.373073281634303
"385",385,0.158333333333333,-0.62,0.22603378031009,0.44629998148038
"386",386,0.196666666666667,-0.558,0.236158792037665,0.460297153356128
"387",387,0.151666666666667,-0.638,0.215400539206032,0.421798868792089
"388",388,0.121666666666667,-0.71,0.197209845991545,0.354130150178301
"389",389,0.153333333333333,-0.644,0.189999403269143,0.341760149812701
"390",390,0.133333333333333,-0.666,0.182107839771171,0.344407210334819
"391",391,0.135,-0.67,0.190394327646598,0.361544306709822
"392",392,0.158333333333333,-0.632,0.200799140398012,0.358249713388381
"393",393,0.153333333333333,-0.64,0.224214426037972,0.419426235882949
"394",394,0.156666666666667,-0.638,0.214708577478009,0.409524363233291
"395",395,0.138333333333333,-0.66,0.207982698129168,0.399489470117416
"396",396,0.131666666666667,-0.672,0.190543142994975,0.369246336668161
"397",397,0.153333333333333,-0.64,0.221031389814765,0.428571428571429
"398",398,0.141666666666667,-0.652,0.202905482726897,0.391355571920816
"399",399,0.163333333333333,-0.608,0.217541405342865,0.445311173019863
"400",400,0.146666666666667,-0.65,0.189401731441441,0.341813888971583
"401",401,0.14,-0.656,0.201637289140382,0.370416202757528
"402",402,0.138333333333333,-0.674,0.184895938128743,0.334913939600572
"403",403,0.158333333333333,-0.624,0.189169625977032,0.349670398740159
"404",404,0.148333333333333,-0.646,0.190691842208332,0.364333330221384
"405",405,0.155,-0.642,0.178975732782883,0.344691521360708
"406",406,0.151666666666667,-0.648,0.221242881689813,0.424379499014353
"407",407,0.151666666666667,-0.642,0.186483449929225,0.359188427612322
"408",408,0.161666666666667,-0.62,0.209205656717788,0.397953950776689
"409",409,0.186666666666667,-0.584,0.213331207472401,0.420572981363593
"410",410,0.191666666666667,-0.56,0.213789107096047,0.398978286964827
"411",411,0.14,-0.648,0.201637289140382,0.388739459467313
"412",412,0.148333333333333,-0.638,0.22353706820498,0.423729794533628
"413",413,0.15,-0.668,0.191958517816632,0.335297613764128
"414",414,0.138333333333333,-0.668,0.17219570419792,0.335297613764128
"415",415,0.148333333333333,-0.64,0.224801499740803,0.4314191105869
"416",416,0.145,-0.666,0.203992185613526,0.369561240126832
"417",417,0.146666666666667,-0.65,0.196020499645264,0.356427855710704
"418",418,0.185,-0.564,0.227309263193973,0.450287889769944
"419",419,0.145,-0.664,0.214820760597465,0.401913789110987
"420",420,0.123333333333333,-0.668,0.21044171232366,0.409300049611828
"421",421,0.15,-0.644,0.225876975726313,0.433853168051786
"422",422,0.145,-0.654,0.220678452939649,0.424365071943621
"423",423,0.151666666666667,-0.632,0.201812928351696,0.385682538376011
